"","x"
"1",-0.67855800672505
"2",1.3745663225625
"3",1.31747504274388
"4",0.185694448300607
"5",1.81849517501204
"6",1.83296819549583
"7",-0.896328269815172
"8",-1.69890183957875
"9",-0.995144251614779
"10",0.867552221359495
"11",1.33907926500893
"12",0.688622512239943
"13",0.431299876420361
"14",-0.467294961997979
"15",1.34224022899982
"16",1.9273809876717
"17",-1.56833677404625
"18",-0.871937823740025
"19",0.0882933135230144
"20",-1.44605683216919
"21",-1.07223387944777
"22",-1.20038438003388
"23",-1.54969478793693
"24",-1.20815225128217
"25",-2.18672472502182
"26",-0.511567604099406
"27",0.823602753432135
"28",-1.01543844274274
"29",0.343305371460369
"30",1.42951615833275
"31",0.0460998941891797
"32",0.659068474651205
"33",1.59423401636906
"34",1.52408787166392
"35",1.34590511941008
"36",1.10482985681766
"37",0.381222412253349
"38",-0.355492032201294
"39",-0.625241132004316
"40",-0.999083779730419
"41",-0.763682861156009
"42",-1.43173017398394
"43",1.1566388840839
"44",2.9431267705758
"45",-0.156738984559357
"46",-1.30137170186176
"47",-0.78896322186248
"48",0.406640835437743
"49",0.540603028197225
"50",0.186623260817291
"51",0.174108055847101
"52",-0.0657078615702785
"53",1.3343059181814
"54",0.869110841552299
"55",1.33585381590213
"56",-0.335576320686589
"57",-0.654388493748108
"58",0.591545243553469
"59",0.315024963819664
"60",0.55239273775506
"61",-0.198611866901397
"62",-0.735066146156862
"63",-1.28514129004262
"64",-1.88665153296125
"65",-0.553904339776204
"66",0.691032691752833
"67",0.411572049634045
"68",0.964670849264141
"69",2.78789865993093
"70",1.14903658244518
"71",-2.70199380848604
"72",-0.841596576050393
"73",0.0953900569874127
"74",-1.25536922653327
"75",0.475164476522812
"76",0.53568408870635
"77",-1.44853611789534
"78",-0.795270690054478
"79",0.00615142136027555
"80",-0.105348904051349
"81",0.38989174984624
"82",-0.0624357108913449
"83",0.347848523084905
"84",0.295014676996316
"85",0.155392714460696
"86",1.36226458428191
"87",1.31265270135328
"88",0.0222136071358155
"89",0.888062350026112
"90",1.91254995072299
"91",1.34320004427777
"92",0.677449302717897
"93",-0.436920687950218
"94",0.85832758769851
"95",0.488262371676879
"96",1.70712532329888
"97",3.28247702059845
"98",0.990388141847675
"99",-1.21498118758716
"100",-1.53154328394473
