date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
11/28/2021,1.731259214,0.134983927,0.635870766,-0.821882239,-0.992828014,1.777309781,-0.706099948,0.867982873,1.228683678,0.279951487
11/29/2021,0.030067266,1.238830023,-0.863812577,-2.686061952,-2.231656872,3.788194851,2.145890352,0.090995013,2.386919045,1.212383812
11/30/2021,0.823907138,0.739135138,-1.030493627,-1.601597715,-2.347853297,1.75478154,1.665988277,1.367494353,0.868885962,0.613437502
12/1/2021,1.96388947,2.294511814,-1.033904298,-1.44400799,-2.472182826,4.91061143,1.124446453,1.632006583,1.724863204,-0.12809152
12/2/2021,1.971700979,1.680435172,-0.640210449,-0.347657718,-1.407502061,1.642623289,1.064702879,1.018990474,-1.428173904,0.736392457
12/3/2021,1.671979279,1.796501045,-2.104465961,-0.842894968,-1.898908203,3.541547505,0.703013601,2.349477149,1.785831233,0.549842072
12/4/2021,1.012509898,3.24947479,-1.092701131,-1.662988355,-1.781373404,2.066850523,0.58492062,2.109339779,0.333095,0.159130748
12/5/2021,1.240794684,1.683944309,-3.156113568,-1.682502335,-1.64850023,2.716315601,-0.054492744,1.835524955,0.955907753,-1.273726422
12/6/2021,0.970412476,3.967070802,-2.086275148,-2.055738326,-1.355332811,-0.518383486,1.596653044,1.642769237,0.084381996,0.071452427
12/7/2021,1.525641118,0.98612244,-2.961068316,-1.937474379,-0.144217556,1.236105199,0.535346123,2.057063196,0.341230865,-1.003826542
12/8/2021,1.394090256,5.080436695,-1.787984422,0.677268922,-1.653130303,-1.6077804,2.230336774,1.054512566,1.04983263,-0.687924797
12/9/2021,1.444581477,1.651288547,-1.060762995,-0.804783771,-1.052246905,1.456435468,1.24867455,0.603528823,0.075074781,-2.228041337
12/10/2021,3.391470724,3.535303587,-1.655413972,-1.732471867,-2.597687536,-0.34269369,0.906120443,0.217450641,0.289679258,-1.319994086
12/11/2021,1.585694292,4.028953674,-1.091585712,-1.288638695,-2.076246009,0.201263402,1.008154212,-0.50578875,0.666169226,-2.675159015
12/12/2021,3.690958316,2.492217732,0.780365226,-2.323394965,-1.025730407,0.070856503,-0.198502852,0.490792455,1.337396041,-1.772100399
12/13/2021,2.18648022,3.837996417,-0.209019733,-2.398557555,-1.350252435,0.380939166,1.727326135,-0.325768132,0.850803105,-2.746522206
12/14/2021,3.677000776,1.889506171,0.6447094,-2.098165684,-2.164874751,1.128626416,-1.03039901,1.143123633,1.61146815,-2.333641914
12/15/2021,1.9642953,2.325457123,1.618366825,-1.491956668,-1.56256589,0.695432328,1.78848964,-0.326254834,0.512089993,-1.899196508
12/16/2021,3.892007953,-0.002296443,1.37273322,-2.453464026,-1.434307216,-0.340911997,-0.139055045,1.934320873,2.163033541,-0.956361373
12/17/2021,4.481875138,0.235759833,0.923395538,-5.001775137,-1.543772838,0.88617903,2.390726714,0.114339773,2.068722801,0.280753583
12/18/2021,3.989229414,-0.071713656,0.53904672,-2.779975145,-0.919822023,-0.769460651,0.250802219,2.560665165,1.650344279,-0.340772945
12/19/2021,3.119357573,1.622924832,-0.823792558,-3.745673451,-1.440695773,0.451693032,2.316380811,1.350941643,3.057325542,-0.053268879
12/20/2021,4.898879982,0.666469364,-0.159401962,-2.036618181,-1.147195431,-1.248137623,0.938758881,-0.23523273,3.69522345,-0.465265785
12/21/2021,3.489654387,2.418242877,0.984816053,-2.147010657,-0.500616234,0.354017383,1.707067847,0.767970136,2.058459034,-1.745906325
12/22/2021,3.011307265,2.247184067,0.215082268,-1.808754666,-0.258021753,-0.955953852,1.896415939,0.162357002,2.591482773,-0.566708619
12/23/2021,2.903005177,2.410913794,2.086621407,-1.127167772,-1.309027211,0.519147837,-0.373076088,-0.902893397,0.450794669,-0.427254789
12/24/2021,3.552100178,1.717989818,0.634999197,-0.704619007,0.655814089,1.817755916,1.918790106,-0.195722912,0.987344579,0.489480533
12/25/2021,2.58923045,1.456905491,1.166619442,-1.131154093,-0.993030401,1.519036685,-0.791774842,-1.662770246,1.293233938,-0.879378475
12/26/2021,0.889217924,1.162559321,1.282967573,-1.229366638,-0.280633404,0.874034654,0.713083655,0.201922165,0.080302771,0.661295951
12/27/2021,2.351485107,0.506755422,0.888821096,-0.649128883,-2.205053785,0.86095973,-0.071412438,-0.618208834,1.581301595,-0.39777109
12/28/2021,0.135745574,0.197936663,1.955439003,0.5223175,0.539417983,0.735043128,-0.125120073,-0.798915092,2.447726873,0.049149203
12/29/2021,2.173538505,-1.123328817,2.495564435,-1.986899796,-2.100734991,1.302730724,-0.705840567,-1.245078414,1.968211882,-0.43062371
12/30/2021,-0.292002529,-0.654436567,1.905163912,0.153968418,1.062909914,0.26782467,0.473572652,-2.118832752,1.044877744,0.681259325
12/31/2021,0.988212719,0.165103668,0.952404315,0.120665303,-1.378850072,-0.551499131,-0.363497717,-2.939010126,1.177953016,-0.846509212
1/1/2022,1.204238854,-1.520613685,0.767758714,1.196892504,1.016983555,-1.36457484,-0.414131382,-1.707315943,0.951514291,-0.069482732
1/2/2022,-0.318313725,0.176129879,0.592486598,-0.480077514,-1.258286111,-2.070356266,-0.483286524,-2.796768575,0.74072378,-1.674856466
1/3/2022,1.613866473,-2.404406775,-0.636506827,1.582985471,-0.534184237,-1.985708336,-1.0287572,-1.34193448,-0.283676074,-0.688123582
1/4/2022,1.617012753,-1.494272399,-0.401859286,0.112904967,-0.344042947,-1.633349146,0.124329817,-1.846909585,-0.833416983,-1.227271049
